TimeUS,wind_vect_x,wind_vect_y,speed,direction
2016-11-15 01:03:00,-1.7053827506047416,0.27072596057457493,1.7267376383774173,170.97968506268256
2016-11-15 01:03:05,-1.76213185449308,0.06891747338752784,1.7634790304274508,177.76028741754777
2016-11-15 01:03:10,-1.7615628333433346,0.011950640035189516,1.7616033701187812,179.61130496213448
2016-11-15 01:03:15,,,,
2016-11-15 01:03:20,1.6485878216882293,-0.9787818965852765,1.9172521500579447,329.30200224181107
2016-11-15 01:03:25,1.2079924051377255,-0.5814399079635156,1.3406408980196929,334.29721095488173
2016-11-15 01:03:30,0.7703460485558681,-0.018328726421175102,0.7705640640062721,358.63702738239886
2016-11-15 01:03:35,0.5239746775788456,0.9300845812951352,1.067523672387082,60.604725058216786
2016-11-15 01:03:40,-0.07002709435163923,0.7687226562339413,0.7719056394085353,95.20501569737809
2016-11-15 01:03:45,0.32561896329734524,0.6911058921221945,0.7639732085517478,64.77223084732951
2016-11-15 01:03:50,0.6404180606390009,0.6381250106119017,0.9040679297271077,44.89724089015693
2016-11-15 01:03:55,0.20631208377556895,0.410367422996234,0.45931045902351,63.30905220944703
2016-11-15 01:04:00,0.5272657855283246,-0.3701720868772875,0.6442333292308674,324.9288516406281
2016-11-15 01:04:05,-0.5302023769063888,-0.2790067110397411,0.5991321267319906,207.7545486680791
2016-11-15 01:04:10,0.08214745372602449,-1.0020139805832768,1.0053756618488499,274.6867609247797
2016-11-15 01:04:15,0.17440261307404403,-0.878385532351073,0.895531917293143,281.22997434482403
2016-11-15 01:04:20,0.35799230380533403,-0.6835396859887491,0.7716119438587303,297.64253564040297
2016-11-15 01:04:25,0.17991296358329545,-0.8408906559514454,0.8599219556051446,282.0766524492261
2016-11-15 01:04:30,0.09423684206059765,-0.5510503415175851,0.5590501420160818,279.7044532951421
2016-11-15 01:04:35,0.4262179978934246,-0.5435325446609678,0.6907165908199298,308.1022222771349
2016-11-15 01:04:40,0.38581318820091226,-0.7860262553266975,0.8756078404472307,296.1436548514915
2016-11-15 01:04:45,-0.04464305776869746,-0.8555491021491984,0.8567130609458682,267.0129814303709
2016-11-15 01:04:50,-0.8871534309997652,-1.8308908364070542,2.034503001957475,244.14761138089804
2016-11-15 01:04:55,,,,
2016-11-15 01:05:00,,,,
2016-11-15 01:05:05,,,,
2016-11-15 01:05:10,,,,
2016-11-15 01:05:15,,,,
2016-11-15 01:05:20,,,,
2016-11-15 01:05:25,,,,
2016-11-15 01:05:30,,,,
2016-11-15 01:05:35,,,,
2016-11-15 01:05:40,,,,
2016-11-15 01:05:45,,,,
2016-11-15 01:05:50,,,,
2016-11-15 01:05:55,,,,
2016-11-15 01:06:00,,,,
2016-11-15 01:06:05,,,,
2016-11-15 01:06:10,,,,
2016-11-15 01:06:15,,,,
2016-11-15 01:06:20,,,,
2016-11-15 01:06:25,,,,
2016-11-15 01:06:30,,,,
2016-11-15 01:06:35,,,,
2016-11-15 01:06:40,,,,
2016-11-15 01:06:45,,,,
2016-11-15 01:06:50,,,,
2016-11-15 01:06:55,,,,
2016-11-15 01:07:00,,,,
2016-11-15 01:07:05,,,,
2016-11-15 01:07:10,,,,
2016-11-15 01:07:15,,,,
2016-11-15 01:07:20,,,,
2016-11-15 01:07:25,,,,
2016-11-15 01:07:30,,,,
2016-11-15 01:07:35,,,,
2016-11-15 01:07:40,,,,
2016-11-15 01:07:45,,,,
2016-11-15 01:07:50,,,,
2016-11-15 01:07:55,,,,
2016-11-15 01:08:00,,,,
2016-11-15 01:08:05,,,,
2016-11-15 01:08:10,,,,
2016-11-15 01:08:15,,,,
2016-11-15 01:08:20,,,,
2016-11-15 01:08:25,,,,
2016-11-15 01:08:30,,,,
2016-11-15 01:08:35,1.1130915404585253,-0.5758118490658978,1.2532087068661075,332.6470848495628
2016-11-15 01:08:40,0.9871912488676401,-0.6257883240078985,1.168827441629202,327.6290670981378
2016-11-15 01:08:45,0.9014297932271681,-1.1538201757813034,1.4641983028803074,307.9989723766776
2016-11-15 01:08:50,-0.31364013226923404,-1.9683572027175533,1.9931884532226085,260.94653869098147
2016-11-15 01:08:55,0.11987633697469172,-2.044182179035346,2.0476940975771174,273.3561348121721
2016-11-15 01:09:00,-0.20440608538108462,-2.1387186131406555,2.148464371111401,264.5405905319602
2016-11-15 01:09:05,-0.14231934364115356,-2.334844675584301,2.3391781579603568,266.51187879850545
2016-11-15 01:09:10,0.06361073824901144,-2.2704775377227535,2.271368436719187,271.6048049977139
2016-11-15 01:09:15,9.901245403265602e-05,-2.471037341201521,2.4710373431851953,270.0022957952264
2016-11-15 01:09:20,-0.0993275008131769,-2.322894332402475,2.325016996050853,267.55151074550207
2016-11-15 01:09:25,0.2907466548753578,-2.0358388482010654,2.0564954250291567,278.12768995782477
2016-11-15 01:09:30,-0.20808775568312624,-2.3045002912289227,2.3138759919968552,264.8403978725736
2016-11-15 01:09:35,0.7201010787325869,-2.001236130644679,2.1268501626089042,289.7901588674957
2016-11-15 01:09:40,0.3132707578494014,-2.0112067493525383,2.035458463433912,278.8533957392066
2016-11-15 01:09:45,0.5664378711454254,-1.743163466887741,1.8328859032028835,288.0014783790035
2016-11-15 01:09:50,1.16593571151127,-1.478451619284253,1.8828768610670006,308.25999935237223
2016-11-15 01:09:55,0.21849332081336367,-2.246298839785688,2.256900044056577,275.5555775540596
2016-11-15 01:10:00,0.94690470322087,-2.110886557652322,2.3135407012324363,294.16012288774476
2016-11-15 01:10:05,1.411183196081512,-2.069607249795992,2.5049375603617268,304.28852763903865
